"image","xmin","ymin","xmax","ymax","label"
"root1.jpg",22.51655629139073,251.65562913907286,386.0927152317881,355.6291390728477,"root"
"root1.jpg",477.4834437086093,142.38410596026492,516.5562913907285,257.6158940397351,"root"
"root3.jpg",6.622516556291391,255.6291390728477,223.84105960264904,387.4172185430464,"root"
"root3.jpg",321.69391556291396,246.8594784768212,540.2085057947021,364.6290355960265,"root"
"root5.jpg",160.9271523178808,52.31788079470199,282.7814569536424,168.8741721854305,"root"
"root5.jpg",110.23127069536426,277.4834437086093,174.1721854304636,362.30339403973517,"root"
"root5.jpg",372.9666804635762,231.10771937086093,466.7166804635762,316.72185430463577,"root"
"root5.jpg",204.55298013245036,185.40718129139074,362.9811672185431,235.83661009933778,"root"
"root5.jpg",405.38079470198676,501.5392177152318,474.0247309602649,598.4400869205299,"root"
"root5.jpg",70.75227649006624,449.2032284768212,129.8556498344371,562.0033112582781,"root"
"root5.jpg",146.24120447019868,514.284975165563,202.31012003311258,599.2756622516557,"root"
"root5.jpg",340.1722889072848,346.9655422185431,376.95571192052984,402.188534768212,"root"
"root4.jpg",343.04635761589407,233.7748344370861,494.0397350993378,333.112582781457,"root"
"root4.jpg",113.38731374172187,17.67125413907285,162.58278145695365,81.66649420529802,"root"
"root2.jpg",204.54521937086093,322.72092301324506,314.0909561258278,480.72744205298017,"root"
"root2.jpg",510.1536630794702,215.53963162251657,587.7974958609271,416.31312086092714,"root"
"root7.jpg",285.43046357615896,477.4834437086093,321.8543046357616,598.0132450331126,"root"
"root7.jpg",310.00620860927154,303.4328435430464,350.9416390728477,393.98799668874176,"root"
"root7.jpg",299.596440397351,1.9013865894039736,375.4190811258278,85.5365273178808,"root"
"root7.jpg",270.2400662251656,143.66204470198676,342.0529801324504,193.03600993377484,"root"
"root7.jpg",196.68098096026492,419.08629966887423,226.56250000000003,499.0480132450332,"root"
"root6.jpg",246.3576158940399,374.83443708609275,343.04635761589407,472.1854304635762,"root"
"root6.jpg",5.341990894039736,70.81177566225166,77.78352649006624,144.78735513245033,"root"
"root6.jpg",191.70374586092717,72.19836506622516,276.60906456953643,154.80908526490066,"root"
"root6.jpg",328.41214817880797,229.8918667218543,463.3692052980133,294.79252897350995,"root"
"root6.jpg",101.36589403973511,240.72330298013247,239.2203021523179,326.59354304635764,"root"
"root6.jpg",443.8250206953643,511.8972475165563,599.3662044701987,556.0430463576159,"root"
"root9.jpg",60.26490066225166,19.14838576158941,323.84105960264907,117.88079470198677,"root"
"root9.jpg",450.49668874172187,330.46357615894044,552.5144867549669,484.28445778145704,"root"
"root8.jpg",169.53642384105973,28.47682119205298,240.3973509933775,142.3841059602649,"root"
"root8.jpg",294.53383692052984,287.4896523178808,424.5033112582782,344.30360099337753,"root"
"root8.jpg",46.2825951986755,488.22692466887423,145.5065190397351,590.3430256622518,"root"
"root8.jpg",200.10347682119206,221.91121688741723,276.26759105960264,306.6949503311258,"root"
